CALL_SIGN,VESSEL_NAME,SHIP_TYPE,FLAG,LAST_PORT,AGENT_NAME,VESSEL_MAX_DRAFT,ATA_TIME,BERTH
V7HX6,PANAGIOTIS,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,MARSHALL ISLANDS,BONTANG,SGS HONG KONG LIMITED,14.27,2025/05/16 23:14,SELA
D5WQ8,YM CREDENTIAL,CONTAINER,LIBERIA,QINGDAO,YANG MING LINE (HONG KONG) LTD,10.81,2025/05/16 23:40,KC9
A8SN4,ANL OTAGO,CONTAINER,LIBERIA,TAURANGA,CMA CGM (HONG KONG) LIMITED,11.1,2025/05/17 00:04,KC10
9V6500,WAN HAI 329,CONTAINER,SINGAPORE,SINGAPORE,HYALINE SHIPPING (HK) CO LTD,10.9,2025/05/17 00:16,KC7
XVEQ7,HAIAN LINK,CONTAINER,VIETNAM,HAIPHONG,MEGATOP AGENCY LIMITED,5.9,2025/05/17 00:25,KC10
A8KN4,LONDON STAR,"TANKER (CRUDE,FUEL,DIESEL,LUB)",LIBERIA,SINGAPORE,VASTON SHIPPING AGENCY LIMITED,13.9,2025/05/17 01:32,SINO
3FHN5,BROTHER 36,GENERAL / HEAVY LIFT CARGO,PANAMA,HAIPHONG,Y & W SHIPPING COMPANY LIMITED,5.2,2025/05/17 01:58,SWLA
3FIP2,GOLDEN CENTURY,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,PANAMA,"OTHER, INDONESIA",WELLS MARINE AGENCIES,7.6,2025/05/17 02:11,SWLA
3E8629,EAGLE SPRING ,MULTI-PURPOSE(SEMI CONT.),PANAMA,"CHIWAN, SHENZHEN",CONCORD MARINE LIMITED,4,2025/05/17 02:58,NWLA
D7VX,ROSE MANN,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,REPUBLIC OF KOREA,VOSTOCHNIY,OCEAN BASE CO LTD,11,2025/05/17 03:02,SELA
3FZZ8,SOUTHERN LEADER,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,SINGAPORE,GULF AGENCY CO (HK) LTD,11.95,2025/05/17 03:45,CTX
S6SS,KOTA RAJA,CONTAINER,SINGAPORE,"OTHER, CHINA (COAST)",PACIFIC INTERNATIONAL LINES (HK) LTD,5.7,2025/05/17 04:06,KC3
5LCT7,EVER COMMAND,CONTAINER,LIBERIA,HO CHI MINH CITY,EVERGREEN MARINE (HONG KONG) LTD,8.4,2025/05/17 04:09,KC9
BTJE3,ZHUN XING 7,BULK/ WOODCHIP/ CEMENT/ ORE CARRIER,CHINA,"OTHER, INDONESIA",MINDA SHIPPING (HONG KONG) LIMITED,12.7,2025/05/17 04:12,SWLA
3E2713,XINTIAN 30,"TANKER (CRUDE,FUEL,DIESEL,LUB)",PANAMA,"BEIHAI, SHACHENG, GX",MINDA SHIPPING (HONG KONG) LIMITED,5,2025/05/17 04:49,SLA
3E5349,MARINA PROSPERITY ,CHEMICAL,PANAMA,"OTHER, VIETNAM",MARITIME TRANSPORT AGENCY (HONG KONG) LIMITED,7.5,2025/05/17 05:29,SLA
